product_id,product_name,category_id,supplier_id,price,cost,weight_kg,dimensions_cm,description,sku,barcode,status,created_date,is_featured
1,Tablet Tablet 254,1,26,540.49,335.42,21.05,8x133x19,High-quality tablet tablet 254 perfect for everyday use.,SKU484714,711628523518,discontinued,2024-09-16,False
2,Coffee Maker Coffee Maker 871,27,30,181.55,57.41,46.5,26x151x136,High-quality coffee maker coffee maker 871 perfect for everyday use.,SKU943245,496827990248,active,2024-09-23,True
3,Shampoo Shampoo 902,6,57,12.33,6.93,19.64,55x180x83,High-quality shampoo shampoo 902 perfect for everyday use.,SKU734031,309466458003,out_of_stock,2025-02-10,False
4,Yoga Mat Yoga Mat 719,4,17,45.73,22.02,19.33,116x35x27,High-quality yoga mat yoga mat 719 perfect for everyday use.,SKU409872,263074142140,active,2025-01-10,False
5,Coffee Maker Coffee Maker 856,27,90,101.53,57.04,33.71,30x178x136,High-quality coffee maker coffee maker 856 perfect for everyday use.,SKU991447,797989042871,active,2025-08-19,False
6,Sofa Sofa 517,26,40,721.28,285.66,35.59,173x158x151,High-quality sofa sofa 517 perfect for everyday use.,SKU815861,389396039984,discontinued,2025-02-15,False
7,Board Game Board Game 837,7,59,58.63,40.79,9.41,98x175x19,High-quality board game board game 837 perfect for everyday use.,SKU482384,359981365879,out_of_stock,2025-02-10,False
8,Jeans Jeans 346,2,47,46.2,26.91,26.5,108x12x100,High-quality jeans jeans 346 perfect for everyday use.,SKU853682,504874009297,active,2024-06-07,False
9,Dumbbells Dumbbells 915,46,93,61.75,33.02,13.49,167x90x56,High-quality dumbbells dumbbells 915 perfect for everyday use.,SKU478003,366146471818,active,2024-07-08,False
10,Sofa Sofa 845,26,9,1391.97,697.54,45.31,37x25x50,High-quality sofa sofa 845 perfect for everyday use.,SKU459931,504953356799,active,2025-09-06,False
11,Laptop Laptop 733,1,12,1441.95,609.28,9.35,107x157x41,High-quality laptop laptop 733 perfect for everyday use.,SKU438791,732954551815,active,2024-09-03,False
12,Blender Plus 113,27,18,89.85,62.21,38.87,155x35x73,High-quality blender plus 113 perfect for everyday use.,SKU290413,234796715221,active,2024-12-10,True
13,Cat Toy Cat Toy 697,12,21,7.93,4.89,40.85,82x86x84,High-quality cat toy cat toy 697 perfect for everyday use.,SKU323861,992143710372,discontinued,2025-08-02,False
14,Coffee Maker Coffee Maker 568,27,88,83.9,57.42,1.6,170x180x192,High-quality coffee maker coffee maker 568 perfect for everyday use.,SKU227907,255336134609,discontinued,2025-05-28,True
15,Notebook Premium 425,14,85,7.35,3.27,44.82,115x134x122,High-quality notebook premium 425 perfect for everyday use.,SKU372379,815886335634,active,2023-11-03,False
16,Headphones Ultra 990,1,4,212.03,132.8,20.61,92x194x42,High-quality headphones ultra 990 perfect for everyday use.,SKU333375,589217980518,active,2024-06-12,False
17,Shampoo Shampoo 431,6,1,14.91,5.64,45.56,170x16x200,High-quality shampoo shampoo 431 perfect for everyday use.,SKU759868,493849643335,active,2025-04-25,False
18,Bed Frame Basic 433,26,6,589.45,332.05,46.05,128x179x50,High-quality bed frame basic 433 perfect for everyday use.,SKU864923,169269333770,active,2024-11-16,False
19,Blender Pro 718,27,89,73.12,50.24,38.49,60x200x106,High-quality blender pro 718 perfect for everyday use.,SKU654787,790657039231,active,2023-10-19,True
20,T-Shirt Plus 487,2,20,36.79,16.2,19.6,189x11x158,High-quality t-shirt plus 487 perfect for everyday use.,SKU776200,732161148195,active,2023-12-22,False
21,Sneakers Basic 730,2,85,109.31,71.85,45.49,42x48x43,High-quality sneakers basic 730 perfect for everyday use.,SKU771022,949085936004,active,2024-07-02,False
22,Toothbrush Toothbrush 717,9,47,10.3,3.1,34.59,61x95x62,High-quality toothbrush toothbrush 717 perfect for everyday use.,SKU235478,564829867223,discontinued,2024-07-18,True
23,Yoga Mat Yoga Mat 193,4,59,74.91,38.99,9.45,160x132x35,High-quality yoga mat yoga mat 193 perfect for everyday use.,SKU901627,986935083562,active,2025-04-19,False
24,Jeans Pro 603,2,46,49.97,22.91,47.61,146x61x147,High-quality jeans pro 603 perfect for everyday use.,SKU810694,793895864091,active,2025-03-25,False
