review_id,customer_id,product_id,order_id,rating,review_title,review_text,review_date,is_verified_purchase,helpful_votes
1,318,175,1293,1,Review Title 1,This is a 1-star review for Cat Toy Ultra 353. Not satisfied.,2025-03-02,True,37
2,1138,1130,157,4,Review Title 2,This is a 4-star review for Smart Watch Smart Watch 572. Great product!,2025-02-01,True,0
3,1402,357,2141,4,Review Title 3,This is a 4-star review for T-Shirt Max 514. Great product!,2024-08-12,True,40
4,1414,264,1227,5,Review Title 4,This is a 5-star review for Headphones Headphones 683. Great product!,2024-03-21,True,33
5,137,594,718,5,Review Title 5,This is a 5-star review for Board Game Board Game 123. Great product!,2024-09-17,True,40
6,1186,1189,1040,2,Review Title 6,This is a 2-star review for Coffee Maker Premium 939. Not satisfied.,2024-04-28,True,41
7,1414,992,1409,2,Review Title 7,This is a 2-star review for Board Game Ultra 740. Not satisfied.,2024-06-08,True,31
8,723,356,1003,3,Review Title 8,This is a 3-star review for Dog Food Dog Food 765. Could be better.,2024-02-14,True,33
9,70,793,1779,1,Review Title 9,This is a 1-star review for Sneakers Sneakers 750. Not satisfied.,2024-03-04,True,43
10,1309,879,1744,2,Review Title 10,This is a 2-star review for Baby Diaper Baby Diaper 459. Not satisfied.,2024-06-14,True,48
11,1108,363,693,4,Review Title 11,This is a 4-star review for Jeans Jeans 458. Great product!,2024-04-22,True,18
12,140,272,269,5,Review Title 12,This is a 5-star review for Board Game Ultra 403. Great product!,2025-08-03,True,1
13,1220,235,1180,5,Review Title 13,This is a 5-star review for Laptop Laptop 606. Great product!,2025-09-18,True,23
14,858,287,2232,5,Review Title 14,This is a 5-star review for Toothbrush Toothbrush 840. Great product!,2025-04-20,True,32
15,1138,670,157,4,Review Title 15,This is a 4-star review for Desk Chair Desk Chair 774. Great product!,2025-02-19,True,1
16,635,922,1374,5,Review Title 16,This is a 5-star review for Board Game Pro 208. Great product!,2024-12-07,True,31
17,945,306,423,5,Review Title 17,This is a 5-star review for Cat Toy Deluxe 396. Great product!,2025-10-01,True,36
18,851,165,1543,5,Review Title 18,This is a 5-star review for Yoga Mat Premium 645. Great product!,2025-03-02,True,3
19,1160,662,245,5,Review Title 19,This is a 5-star review for Jacket Jacket 102. Great product!,2025-01-14,True,40
20,319,268,1884,4,Review Title 20,This is a 4-star review for Notebook Notebook 509. Great product!,2024-04-28,True,44
21,758,40,819,4,Review Title 21,This is a 4-star review for T-Shirt T-Shirt 212. Great product!,2025-03-31,True,28
22,1465,773,2231,4,Review Title 22,This is a 4-star review for Headphones Headphones 848. Great product!,2024-02-29,True,4
23,495,844,1332,5,Review Title 23,This is a 5-star review for Smart Watch Smart Watch 784. Great product!,2025-01-18,True,5
24,1132,27,1299,5,Review Title 24,This is a 5-star review for Cat Toy Basic 514. Great product!,2024-10-19,True,4
25,210,727,2493,5,Review Title 25,This is a 5-star review for Toothbrush Toothbrush 487. Great product!,2023-10-12,True,3
26,183,1092,1514,4,Review Title 26,This is a 4-star review for Shampoo Standard 936. Great product!,2024-04-13,True,18
27,1291,1013,2424,4,Review Title 27,This is a 4-star review for Sneakers Sneakers 770. Great product!,2025-04-07,True,24
28,1478,504,1161,5,Review Title 28,This is a 5-star review for T-Shirt Plus 947. Great product!,2024-11-08,True,16
29,1414,75,1409,4,Review Title 29,This is a 4-star review for Board Game Board Game 497. Great product!,2024-05-31,True,29
30,462,391,619,4,Review Title 30,This is a 4-star review for Dumbbells Dumbbells 378. Great product!,2024-08-21,True,32
31,441,896,2000,2,Review Title 31,This is a 2-star review for Jacket Basic 813. Not satisfied.,2025-07-15,True,38
32,1272,61,1033,4,Review Title 32,This is a 4-star review for Sofa Sofa 562. Great product!,2025-03-06,True,14
33,1239,240,793,3,Review Title 33,This is a 3-star review for Book Book 635. Could be better.,2023-11-20,True,23
34,1191,1195,729,4,Review Title 34,This is a 4-star review for Cat Toy Cat Toy 270. Great product!,2025-01-12,True,22
35,1485,1190,794,5,Review Title 35,This is a 5-star review for Board Game Board Game 606. Great product!,2025-04-22,True,17
36,862,715,1563,2,Review Title 36,This is a 2-star review for Smart Watch Smart Watch 400. Not satisfied.,2024-05-29,True,42
37,1213,1082,943,4,Review Title 37,This is a 4-star review for Paint Set Paint Set 426. Great product!,2025-02-02,True,18
